DetectedObjects,ImageID
"[{'accuracy': '0.83842903', 'label': 'person'}]",d201e9c1-9be6-44f7-a99e-4fbbac82791a
"[{'accuracy': '0.7389258', 'label': 'fire hydrant'}, {'accuracy': '0.952557', 'label': 'fire hydrant'}, {'accuracy': '0.78761816', 'label': 'fire hydrant'}, {'accuracy': '0.9159075', 'label': 'fire hydrant'}]",fdde925a-daca-4200-81d9-eafb7762dc8e
"[{'accuracy': '0.73473465', 'label': 'giraffe'}]",f45aa649-2d61-47af-8379-2da7f2a227dd
"[{'accuracy': '0.9235486', 'label': 'hot dog'}]",6f1d633e-c744-415e-b981-066938a5611d
"[{'accuracy': '0.56775874', 'label': 'person'}, {'accuracy': '0.51605415', 'label': 'tie'}]",5999e385-a11d-41d6-8370-650d9468ef71
[],beb39829-db33-4f0e-9016-328d3ed3e361
[],1bf7877b-0ede-4432-b314-4249e793e2c1
"[{'accuracy': '0.60608995', 'label': 'tennis racket'}, {'accuracy': '0.9681402', 'label': 'sports ball'}]",a5a65bcd-0d6d-45ae-96a4-5fb9d96ce3c6
"[{'accuracy': '0.54370534', 'label': 'chair'}]",63fc27ac-6a1d-48e4-b042-d7bf30f40965
"[{'accuracy': '0.7569429', 'label': 'person'}, {'accuracy': '0.56672066', 'label': 'person'}, {'accuracy': '0.5045345', 'label': 'pottedplant'}]",2914c705-bb45-41d0-949a-cdf472a1d0b9
"[{'accuracy': '0.71092606', 'label': 'person'}, {'accuracy': '0.578137', 'label': 'person'}, {'accuracy': '0.80861497', 'label': 'person'}, {'accuracy': '0.6294313', 'label': 'person'}]",895e0f58-198d-4d20-9499-92cca36e44b8
"[{'accuracy': '0.88419265', 'label': 'elephant'}, {'accuracy': '0.9559026', 'label': 'elephant'}]",09ac6ccb-4db7-497d-99c0-0f3502c8c905
[],3135cea6-04cd-405a-9905-cf762b516818
[],ee064e67-7da4-484d-8b81-86b1d2845a80
[],0d5eebbe-4ab6-4d05-9f2b-44f3411060df
"[{'accuracy': '0.84118044', 'label': 'person'}, {'accuracy': '0.7647944', 'label': 'tennis racket'}, {'accuracy': '0.8698837', 'label': 'person'}, {'accuracy': '0.528029', 'label': 'tennis racket'}, {'accuracy': '0.64633924', 'label': 'tennis racket'}]",6966b715-b3fc-4b0b-a57f-63e380a97ae1
[],58bc8303-fc7d-4530-b426-887fc917827d
"[{'accuracy': '0.8320178', 'label': 'clock'}]",cfc9d38c-c105-4077-81a8-7b1bf4529b56
"[{'accuracy': '0.76844573', 'label': 'person'}, {'accuracy': '0.67107105', 'label': 'person'}]",aa41c27e-9e74-47bb-a578-59319ab19376
"[{'accuracy': '0.71975195', 'label': 'chair'}, {'accuracy': '0.55541396', 'label': 'toilet'}, {'accuracy': '0.63725066', 'label': 'chair'}]",b6b69e57-49d9-446d-a1ab-c3ae4ce4ad13
"[{'accuracy': '0.53345984', 'label': 'person'}, {'accuracy': '0.661548', 'label': 'cat'}]",ecf6c2ac-84eb-410f-9670-4a9cca5e155b
